x,y
-1.9055316099296957,2.5864322190394278
-1.9855431702346324,2.6464318572119665
-2.065554730539569,2.7064314953845052
-2.145566290867612,2.7664311335387466
-2.225577851186502,2.8264307716877943
-2.305589411363833,2.8864304097679643
-2.385600971632528,2.9464300479154466
-2.4656125320844113,3.0064296861749638
-2.545624092178305,3.066429324195621
-2.625635652799433,3.126428962578404
-2.6579931875341236,3.1714032244285835
-2.5566927538663493,3.180799085804206
-2.4551913565257695,3.190213581413637
-2.3536899591851896,3.199628077023069
-2.158284284811738,3.2381287420668157
-2.0580800089757814,3.2578719296110936
-1.9578836489842277,3.277613530531805
-1.8579853033653944,3.29729641769661
-1.7582293220719927,3.3169512609928384
-1.5778340009595542,3.352494401850883
-1.406362032230312,3.403879790924344
-1.3089895067457005,3.4330596326307976
-1.211500056502788,3.462274515723637
-1.11527996987833,3.4911090089928365
-1.0176590075879735,3.5203633072578455
-0.864069177948248,3.5663899388330793
-0.7207837492518515,3.623783639152156
-0.6275646172622873,3.6611230413299793
-0.5329149124460305,3.6990354730502166
-0.43836912663318045,3.7369062827705726
-0.34513498706327567,3.774251704097008
-0.22125995012979593,3.823870470984183
-0.10801322040013989,3.880466887538794
-0.016910778900318148,3.925996410553271
0.07302667603174323,3.970943718938517
0.16394061278478023,4.0163790417542735
0.2546624457022084,4.061718331032363
0.4231797363630338,4.179153118508921
0.4049506256872396,4.162868749239047
0.33020434852471964,4.096096647526936
0.2318871092115647,4.00826819005326
0.13468749776093453,3.9108423414737987
0.06386982738199351,3.8398598505180326
-0.00730261575605827,3.7685217432961573
-0.11115064930041663,3.6644319862791717
-0.2121748462181115,3.549843282207477
-0.2785242379255115,3.4745851597179938
-0.34480667434044465,3.3994030303773224
-0.45234261062533265,3.2774283854528035
-0.5540728157998004,3.1455162556403806
-0.615702607568756,3.065601815811899
-0.6768796194179819,2.9862745283955436
-0.784606506579207,2.8465866856373614
-0.8844427394521209,2.6967220223898933
-0.9400977963013655,2.613177916935145
-0.9959709404917632,2.5293064301713652
-1.0999664564824565,2.373198170388293
-1.1940340753023535,2.2071242039591565
-1.2435406129257018,2.1197216897312243
-1.2928807445409025,2.032612911043857
-1.390012358955673,1.8611294390949948
-1.4745297715502192,1.6819772669005895
-1.5176731534785382,1.5905259182249094
-1.560398125288032,1.499961575252246
-1.603636140676846,1.4083096413245615
-1.6468741560656601,1.3166577073968768
-1.6831194618317813,1.2217724327779629
-1.7193647675979022,1.126887158159049
-1.7552650712255,1.0329049459058328
-1.7912382853670792,0.9387320314581588
-1.8275971228062349,0.8435497073162572
-1.8639559602453906,0.7483673831743557
-1.8929487462604535,0.6507294473488721
-1.9055316093496928,0.6362560257816051
-1.9055316093833894,0.7362650980879608
-1.9055316093990045,0.8362741490876294
-1.9055316094213555,0.9362831908055738
-1.9055316094537136,1.0362922275580908
-1.905531609507586,1.1363012620664994
-1.9055316095667911,1.2363102948435083
-1.9055316096115393,1.3363193265095044
-1.9055316096523396,1.4363283581149158
-1.9055316096929333,1.5363373896405348
-1.9055316096996018,1.636346420524471
-1.9055316097373773,1.7363554524311111
-1.9055316097810064,1.8363644839066393
-1.905531609812007,1.9363735151422756
-1.9055316098454869,2.036382546534591
-1.9055316098544814,2.1363915777347344
-1.905531609880899,2.23640060920805
-1.9055316098982717,2.3364096405681325
-1.9055316098975168,2.436418671946691
-1.9055316099296957,2.5864322190394278
